Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.4189384,0.0,199.0,0.028725576,0.0
20000,1.4189383,0.01600000023841858,199.0,0.010347652,0.01600000023841858
30000,1.4189383,0.02400000035762787,199.0,0.07247588,0.02400000035762787
40000,1.4189383,0.3140000046789646,199.0,0.06525733,0.3140000307559967
50000,1.4189384,0.00800000011920929,199.0,0.02682335,0.00800000011920929
60000,1.4189383,1.160000017285347,199.0,0.17861502,1.1600001069903374
70000,1.4189383,0.968000014424324,199.0,0.05847667,0.968000099658966
80000,1.4189383,0.01600000023841858,199.0,0.09850237,0.01600000023841858
90000,1.4189383,0.012000000178813934,199.0,0.023094699,0.012000000178813934
100000,1.4189383,0.04400000065565109,199.0,0.13155782,0.04400000065565109
110000,1.4189384,1.6660000248253346,199.0,0.08583627,1.666000183224678
120000,1.4189383,0.16400000244379043,199.0,0.060222253,0.1640000230073929
130000,1.4189384,0.01600000023841858,199.0,0.0270504,0.01600000023841858
140000,1.4189384,0.03200000047683716,199.0,0.09848153,0.03200000047683716
150000,1.4189383,0.018000000268220902,199.0,0.030038223,0.018000000268220902
160000,1.4189384,0.030000000447034835,199.0,0.017849168,0.030000000447034835
170000,1.4189383,0.03400000050663948,199.0,0.007839597,0.03400000050663948
180000,1.4189383,0.03200000047683716,199.0,0.06861217,0.03200000047683716
190000,1.4189383,0.00800000011920929,199.0,0.08337732,0.00800000011920929
200000,1.4189384,0.0,199.0,0.066109896,0.0
210000,1.4199486,0.0,199.0,-0.0020616658,0.0
220000,1.4209684,0.004000000059604645,199.0,0.12717164,0.004000000059604645
230000,1.4209683,0.004000000059604645,199.0,0.09826626,0.004000000059604645
240000,1.4209683,0.006000000089406967,199.0,0.08566406,0.006000000089406967
250000,1.4209683,0.004000000059604645,199.0,0.10263653,0.004000000059604645
260000,1.4209684,0.027450980801208346,199.0,-0.009800858,0.028000000417232513
270000,1.4209683,0.040816327138822904,199.0,0.05190457,0.04000000059604645
280000,1.4209684,0.01764705908649108,199.0,0.08359209,0.018000000268220902
290000,1.4209684,0.0224489799263526,199.0,0.029784376,0.022000000327825547
300000,1.4209684,0.022000000327825547,199.0,0.08826613,0.022000000327825547
310000,1.4209683,0.020000000298023225,199.0,-0.0048177256,0.020000000298023225
320000,1.4209684,0.01600000023841858,199.0,0.087183565,0.01600000023841858
330000,1.4209684,0.010000000149011612,199.0,0.07877593,0.010000000149011612
340000,1.4209684,0.00800000011920929,199.0,0.115057975,0.00800000011920929
350000,1.4209684,0.004000000059604645,199.0,0.06954397,0.004000000059604645
360000,1.4209684,0.0020000000298023225,199.0,0.015032299,0.0020000000298023225
370000,1.4209684,0.0020000000298023225,199.0,0.022591133,0.0020000000298023225
380000,1.4209684,0.00800000011920929,199.0,0.03221722,0.00800000011920929
390000,1.4209684,0.012000000178813934,199.0,0.040328626,0.012000000178813934
400000,1.4209684,0.0,199.0,0.078863434,0.0
410000,1.4209684,0.012000000178813934,199.0,0.07546782,0.012000000178813934
420000,1.4236478,0.004000000059604645,199.0,0.091037005,0.004000000059604645
430000,1.4236486,0.01600000023841858,199.0,0.15003677,0.01600000023841858
440000,1.4236486,0.018000000268220902,199.0,0.074688785,0.018000000268220902
450000,1.4236486,0.00800000011920929,199.0,0.10440762,0.00800000011920929
460000,1.4236486,0.012000000178813934,199.0,0.13334094,0.012000000178813934
470000,1.4236485,0.010000000149011612,199.0,0.04538116,0.010000000149011612
480000,1.4236486,0.00800000011920929,199.0,0.06441671,0.00800000011920929
490000,1.4236486,0.014000000208616257,199.0,0.029260824,0.014000000208616257
