Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate
65710000,0.8653347,0.5135135135135135,134.06756756756758,0.75701255,0.5135135135135135,0.0017776734,0.07274729,9.999998e-06
65720000,0.86518186,0.4657534246575342,134.26027397260273,0.7583122,0.4794520547945205,0.0021489984,0.07302003,9.999998e-06
65730000,0.8652391,0.4794520547945205,137.87671232876713,0.74043,0.4657534246575342,0.0019379011,0.07863265,9.999999e-06
65740000,0.865182,0.5897435897435898,127.25641025641026,0.78298694,0.5769230769230769,0.0015970147,0.07379487,9.999998e-06
65750000,0.86540586,0.4657534246575342,136.17808219178082,0.7345098,0.4794520547945205,0.0036368817,0.07105687,9.999999e-06
65760000,0.86566544,0.52,131.98666666666668,0.75339544,0.52,0.0023814621,0.07387937,9.999998e-06
65770000,0.86553055,0.4931506849315068,135.05479452054794,0.79669887,0.4931506849315068,0.0019372611,0.07801315,9.999998e-06
65780000,0.8651402,0.4931506849315068,135.67123287671234,0.79731303,0.4931506849315068,0.0022631618,0.07653455,9.999999e-06
65790000,0.8647211,0.5068493150684932,136.4931506849315,0.78545856,0.5068493150684932,0.0020200515,0.070461385,1e-05
65800000,0.86474746,0.5333333333333333,132.36,0.7900458,0.5333333333333333,0.0013034723,0.07573707,1e-05
65810000,0.86475277,0.5277777777777778,137.125,0.7885898,0.5138888888888888,0.0014727443,0.08348112,9.999999e-06
65820000,0.8650856,0.45454545454545453,128.54545454545453,0.7449943,0.4675324675324675,0.00679441,0.07406516,9.999999e-06
65830000,0.8652259,0.49333333333333335,133.56,0.78449756,0.49333333333333335,0.0012218292,0.075502045,9.999998e-06
65840000,0.8649277,0.5466666666666666,130.82666666666665,0.80741864,0.5466666666666666,0.0012388588,0.073169105,9.999998e-06
65850000,0.8647199,0.4583333333333333,139.98611111111111,0.7607848,0.4583333333333333,0.004009201,0.0748289,9.999998e-06
65860000,0.8645879,0.4931506849315068,135.986301369863,0.72870994,0.4931506849315068,0.0010590305,0.07751754,9.999999e-06
65870000,0.8645177,0.56,131.26666666666668,0.73625153,0.5466666666666666,0.0032345906,0.07424664,9.999999e-06
65880000,0.86425036,0.5263157894736842,129.67105263157896,0.7753912,0.5394736842105263,0.00325354,0.074730136,9.999998e-06
65890000,0.8642237,0.47297297297297297,136.01351351351352,0.7530006,0.47297297297297297,0.0013973459,0.070782684,9.999998e-06
65900000,0.86397964,0.547945205479452,133.97260273972603,0.7870568,0.547945205479452,0.0014074541,0.080109626,9.999998e-06
65910000,0.863612,0.4864864864864865,134.2027027027027,0.7880346,0.4864864864864865,0.0028557356,0.08066869,9.999998e-06
65920000,0.86348844,0.5432098765432098,124.61728395061728,0.81149197,0.5432098765432098,0.0017320332,0.07995301,9.999998e-06
65930000,0.8634414,0.4794520547945205,134.95890410958904,0.79292005,0.4794520547945205,0.001784624,0.07291803,9.999999e-06
65940000,0.8635504,0.5,136.56944444444446,0.7510617,0.4861111111111111,0.0021857498,0.0696431,9.999999e-06
65950000,0.8633271,0.4931506849315068,138.06849315068493,0.7886838,0.5068493150684932,0.0016804216,0.07379584,9.999998e-06
65960000,0.8628737,0.5205479452054794,134.3835616438356,0.8051184,0.5068493150684932,0.0013285702,0.07565865,1e-05
65970000,0.86267364,0.5,134.64864864864865,0.7704735,0.5135135135135135,0.0016817729,0.07489293,9.999998e-06
65980000,0.862825,0.5205479452054794,134.86301369863014,0.75566506,0.5205479452054794,0.0033736965,0.07834818,9.999999e-06
65990000,0.8630317,0.5512820512820513,128.21794871794873,0.78882176,0.5512820512820513,0.0022455514,0.0831275,9.999999e-06
66000000,0.863081,0.4647887323943662,140.09859154929578,0.7622053,0.4647887323943662,0.0032989525,0.07969851,9.999998e-06
66010000,0.86287045,0.5,129.28947368421052,0.7627999,0.4868421052631579,0.0028108815,0.082120545,9.999999e-06
66020000,0.8625432,0.527027027027027,134.33783783783784,0.7974862,0.5405405405405406,0.0013950086,0.07430288,9.999999e-06
66030000,0.86228925,0.5263157894736842,131.6578947368421,0.82126427,0.5263157894736842,0.0011350951,0.07360038,9.999999e-06
