Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.4189383,0.0,249.0,-0.076708436,0.0
20000,1.4189383,0.0,249.0,-0.21145797,0.0
30000,1.4189383,0.0004999999888241291,249.0,-0.17808636,0.0004999999888241291
40000,1.4189383,0.0014999999664723873,249.0,-0.16963859,0.0014999999664723873
50000,1.4189384,0.0,249.0,-0.13868788,0.0
60000,1.4189383,0.0024999999441206455,249.0,-0.09087658,0.0019999999552965165
70000,1.4189383,0.0004999999888241291,249.0,-0.12012339,0.0009999999776482583
80000,1.4189383,0.0009999999776482583,249.0,-0.14004852,0.0009999999776482583
90000,1.4189383,0.0004999999888241291,249.0,-0.093733914,0.0004999999888241291
100000,1.4189383,0.0004999999888241291,249.0,-0.080921285,0.0004999999888241291
110000,1.4189384,0.0019999999552965165,249.0,-0.087385096,0.0019999999552965165
120000,1.4189383,0.0009999999776482583,249.0,-0.10055377,0.0009999999776482583
130000,1.4189383,0.0,249.0,-0.044446386,0.0
140000,1.4189383,0.0009999999776482583,249.0,-0.06698803,0.0009999999776482583
150000,1.4189383,0.0004999999888241291,249.0,-0.13476667,0.0004999999888241291
160000,1.4189383,0.103333332088022,242.47619047619048,-0.08498488,0.10333332783054738
170000,1.4189382,0.0524999993853271,245.525,-0.08643188,0.05249999761581421
180000,1.4189383,0.0437499990221113,249.0,-0.06518405,0.04374999450519681
190000,1.4189383,0.0004999999888241291,249.0,-0.0915063,0.0004999999888241291
200000,1.4189383,0.0529268286304503,245.73170731707316,-0.08275779,0.052926825768337016
210000,1.4179618,0.0029999999329447745,249.0,-0.08251587,0.0029999999329447745
220000,1.4168772,0.0024999999441206455,249.0,-0.12656762,0.0024999999441206455
230000,1.416877,0.030999999307096005,249.0,-0.092275605,0.0309999942779541
240000,1.4168772,0.0009999999776482583,249.0,-0.07039983,0.0009999999776482583
250000,1.4168772,0.0004999999888241291,249.0,-0.056600727,0.0004999999888241291
260000,1.4168772,0.0,249.0,-0.08347905,0.0
270000,1.4168772,0.04849999891594052,249.0,-0.060575902,0.048499995470047
280000,1.4168772,0.0,249.0,-0.094406374,0.0
290000,1.4168772,0.025999999418854714,249.0,-0.07240998,0.025999997463077306
300000,1.4168772,0.05299999937415123,245.575,-0.05488137,0.05299999713897705
310000,1.416877,0.24744185753339945,233.1627906976744,-0.0074263276,0.24744184627089388
320000,1.4168772,0.0014999999664723873,249.0,-0.10888712,0.0014999999664723873
330000,1.4168772,0.0,249.0,-0.10192728,0.0
340000,1.4168772,0.02574999942444265,249.0,-0.0696347,0.025249997712671758
350000,1.4168772,0.0024999999441206455,249.0,-0.06553531,0.0029999999329447745
360000,1.4168772,0.03424999923445284,249.0,-0.09158895,0.03424999509006739
370000,1.416877,0.0007499999832361936,249.0,-0.11821824,0.0007499999832361936
380000,1.4168772,0.0009999999776482583,249.0,-0.10246481,0.0009999999776482583
390000,1.4168772,0.0004999999888241291,249.0,-0.08807279,0.0004999999888241291
400000,1.4168772,0.0014999999664723873,249.0,-0.082677506,0.0014999999664723873
410000,1.4168767,0.0,249.0,-0.08687685,0.0
420000,1.4158362,0.0,249.0,-0.097251885,0.0
430000,1.4158362,0.0,249.0,-0.09699129,0.0
440000,1.4158362,0.0009999999776482583,249.0,-0.0775667,0.0009999999776482583
450000,1.4158362,0.0004999999888241291,249.0,-0.07033263,0.0004999999888241291
460000,1.4158362,0.0019999999552965165,249.0,-0.06647839,0.0014999999664723873
470000,1.4158362,0.0004999999888241291,249.0,-0.061658602,0.0009999999776482583
480000,1.4158362,0.0,249.0,-0.05656631,0.0
490000,1.4158362,0.0,249.0,-0.06341923,0.0
